學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1069,修平科技大學,N 修,C 二技,684,473,211,-,-,-,-,249,117,220,93,-,-,-,-,-,-,4,1,06 臺中市,2 技職
1069,修平科技大學,N 修,2 二專,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,06 臺中市,2 技職
1070,長庚科技大學,D 日,M 碩士,71,7,64,4,25,2,22,1,16,-,1,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1070,長庚科技大學,D 日,B 四技,"3,504",470,"3,034",133,759,112,758,104,753,119,749,-,-,-,-,-,-,2,15,03 桃園市,2 技職
1070,長庚科技大學,D 日,C 二技,"1,475",110,"1,365",-,-,-,-,58,669,52,694,-,-,-,-,-,-,-,2,03 桃園市,2 技職
1070,長庚科技大學,N 職,M 碩士,150,3,147,1,43,-,39,-,34,1,20,-,8,-,3,1,-,-,-,03 桃園市,2 技職
1070,長庚科技大學,N 修,C 二技,"1,197",88,"1,109",-,-,-,-,49,568,39,522,-,14,-,-,-,-,-,5,03 桃園市,2 技職
1071,臺北城市科技大學,D 日,M 碩士,87,66,21,26,10,27,6,7,1,6,4,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,B 四技,"6,813","4,329","2,484",956,533,950,542,"1,043",638,988,609,-,-,-,-,-,-,392,162,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,C 二技,8,5,3,-,-,-,-,4,3,1,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,5 五專,933,603,330,108,57,107,62,130,79,117,77,113,47,-,-,-,-,28,8,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,B 四技,744,583,161,182,44,138,36,138,41,98,34,-,-,-,-,-,-,27,6,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,C 二技,500,260,240,-,-,-,-,130,130,119,103,-,-,-,-,-,-,11,7,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,2 二專,374,174,200,102,96,65,91,-,-,-,-,-,-,-,-,-,-,7,13,30 臺北市,2 技職
1072,敏實科技大學,D 日,B 四技,262,197,65,62,15,72,6,18,15,22,18,-,-,-,-,-,-,23,11,04 新竹縣,2 技職
1072,敏實科技大學,D 日,5 五專,203,106,97,8,8,9,12,13,19,18,15,50,32,-,-,-,-,8,11,04 新竹縣,2 技職
1072,敏實科技大學,N 修,B 四技,114,61,53,8,13,10,8,10,8,25,16,-,-,-,-,-,-,8,8,04 新竹縣,2 技職
1073,醒吾科技大學,D 日,M 碩士,65,27,38,17,16,5,15,5,7,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1073,醒吾科技大學,D 日,B 四技,"5,751","2,559","3,192",602,836,674,771,550,714,585,744,-,-,-,-,-,-,148,127,01 新北市,2 技職
1073,醒吾科技大學,D 日,C 二技,22,6,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,16,01 新北市,2 技職
1073,醒吾科技大學,D 日,5 五專,333,127,206,17,17,19,31,30,41,28,60,29,56,-,-,-,-,4,1,01 新北市,2 技職
1073,醒吾科技大學,N 職,M 碩士,73,41,32,12,11,7,7,2,6,10,4,3,4,7,-,-,-,-,-,01 新北市,2 技職
1073,醒吾科技大學,N 修,B 四技,706,303,403,107,105,39,38,61,72,77,164,-,-,-,-,-,-,19,24,01 新北市,2 技職
1073,醒吾科技大學,N 修,C 二技,444,190,254,-,-,-,-,91,116,90,132,-,-,-,-,-,-,9,6,01 新北市,2 技職
1073,醒吾科技大學,N 修,2 二專,123,59,64,17,12,35,50,-,-,-,-,-,-,-,-,-,-,7,2,01 新北市,2 技職
1075,文藻外語大學,D 日,M 碩士,221,54,167,22,53,12,44,12,29,7,35,1,6,-,-,-,-,-,-,50 高雄市,2 技職
1075,文藻外語大學,D 日,B 四技,"4,829","1,408","3,421",309,759,339,756,323,856,343,839,-,-,-,-,-,-,94,211,50 高雄市,2 技職
1075,文藻外語大學,D 日,C 二技,219,41,178,-,-,-,-,13,57,22,82,-,-,-,-,-,-,6,39,50 高雄市,2 技職
1075,文藻外語大學,D 日,5 五專,"1,698",290,"1,408",75,339,63,294,58,299,48,225,39,226,-,-,-,-,7,25,50 高雄市,2 技職
1075,文藻外語大學,N 職,M 碩士,52,15,37,5,12,4,9,1,9,1,5,-,2,3,-,1,-,-,-,50 高雄市,2 技職
1075,文藻外語大學,N 修,B 四技,"1,518",573,945,116,168,134,195,125,216,128,217,-,-,-,-,-,-,70,149,50 高雄市,2 技職
1075,文藻外語大學,N 修,C 二技,146,32,114,-,-,-,-,11,48,18,45,-,-,-,-,-,-,3,21,50 高雄市,2 技職
1076,華夏科技大學,D 日,M 碩士,35,30,5,15,2,6,3,5,-,4,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1076,華夏科技大學,D 日,B 四技,"1,277",821,456,171,65,170,91,232,148,180,130,-,-,-,-,-,-,68,22,01 新北市,2 技職
1076,華夏科技大學,D 日,C 二技,79,68,11,-,-,-,-,19,5,41,6,-,-,-,-,-,-,8,-,01 新北市,2 技職
1076,華夏科技大學,D 日,5 五專,558,450,108,73,23,116,29,78,20,96,26,79,10,-,-,-,-,8,-,01 新北市,2 技職
1076,華夏科技大學,N 職,M 碩士,62,42,20,19,9,15,9,5,1,3,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1076,華夏科技大學,N 修,B 四技,720,386,334,64,66,127,46,87,117,78,83,-,-,-,-,-,-,30,22,01 新北市,2 技職
1076,華夏科技大學,N 修,C 二技,657,391,266,-,-,-,-,138,90,236,170,-,-,-,-,-,-,17,6,01 新北市,2 技職
1076,華夏科技大學,N 修,2 二專,112,46,66,-,15,42,42,-,-,-,-,-,-,-,-,-,-,4,9,01 新北市,2 技職
1077,慈濟科技大學,D 日,M 碩士,61,18,43,7,16,9,17,-,9,2,1,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,B 四技,"1,289",496,793,125,197,106,196,123,197,114,190,-,-,-,-,-,-,28,13,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,C 二技,273,28,245,-,-,-,-,16,125,12,118,-,-,-,-,-,-,-,2,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,2 二專,14,4,10,-,-,4,10,-,-,-,-,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,5 五專,"1,349",206,"1,143",27,216,48,253,42,237,36,200,45,207,-,-,-,-,8,30,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,B 四技,11,4,7,-,-,1,-,1,1,1,4,-,-,-,-,-,-,1,2,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,C 二技,203,21,182,-,-,-,-,9,92,11,86,-,-,-,-,-,-,1,4,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,2 二專,11,5,6,-,-,5,3,-,-,-,-,-,-,-,-,-,-,-,3,15 花蓮縣,2 技職
1078,致理科技大學,D 日,M 碩士,50,10,40,5,12,3,16,1,9,1,3,-,-,-,-,-,-,-,-,01 新北市,2 技職
1078,致理科技大學,D 日,B 四技,"6,435","2,105","4,330",495,"1,054",552,"1,022",451,"1,065",459,"1,035",-,-,-,-,-,-,148,154,01 新北市,2 技職
1078,致理科技大學,D 日,C 二技,221,41,180,-,-,-,-,19,90,20,88,-,-,-,-,-,-,2,2,01 新北市,2 技職
1078,致理科技大學,D 日,5 五專,"1,556",348,"1,208",77,253,71,254,77,247,75,222,38,211,-,-,-,-,10,21,01 新北市,2 技職
1078,致理科技大學,N 職,M 碩士,45,13,32,5,15,4,8,1,5,2,3,1,1,-,-,-,-,-,-,01 新北市,2 技職
1078,致理科技大學,N 修,B 四技,"3,177","1,310","1,867",314,433,287,419,305,429,316,447,-,-,-,-,-,-,88,139,01 新北市,2 技職
1078,致理科技大學,N 修,C 二技,2,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,01 新北市,2 技職
1079,康寧大學,D 日,M 碩士,8,3,5,-,-,-,1,-,2,3,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1079,康寧大學,D 日,B 學士,236,59,177,11,39,11,44,10,38,7,45,-,-,-,-,-,-,20,11,30 臺北市,1 一般
1079,康寧大學,D 日,5 五專,"2,653",636,"2,017",123,394,140,441,136,378,104,394,120,369,-,-,-,-,13,41,30 臺北市,2 技職
1079,康寧大學,N 職,M 碩士,13,5,8,-,-,-,-,1,1,3,5,1,2,-,-,-,-,-,-,30 臺北市,1 一般
1079,康寧大學,N 修,C 二技,182,15,167,-,-,-,-,10,87,5,80,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1079,康寧大學,N 修,2 二專,182,45,137,23,71,22,63,-,-,-,-,-,-,-,-,-,-,-,3,30 臺北市,2 技職
1079,康寧大學,P 進,B 學士,6,3,3,-,-,-,-,-,2,1,1,-,-,-,-,-,-,2,-,30 臺北市,1 一般
1080,宏國德霖科技大學,D 日,M 碩士,31,16,15,10,10,6,5,-,-,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,B 四技,"1,932","1,192",740,250,178,242,148,330,201,298,194,-,-,-,-,-,-,72,19,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,C 二技,70,31,39,-,-,-,-,14,21,17,17,-,-,-,-,-,-,-,1,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,5 五專,"1,090",657,433,164,89,140,89,125,84,107,88,114,75,-,-,-,-,7,8,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,B 四技,"1,072",697,375,155,81,146,72,188,115,170,89,-,-,-,-,-,-,38,18,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,C 二技,776,448,328,-,-,-,-,228,161,199,156,-,-,-,-,-,-,21,11,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,2 二專,25,7,18,-,-,4,18,-,-,-,-,-,-,-,-,-,-,3,-,01 新北市,2 技職
1081,東方設計大學,D 日,D 博士,28,14,14,4,1,2,3,1,5,2,1,3,2,1,2,1,-,-,-,12 高雄市,2 技職
1081,東方設計大學,D 日,M 碩士,81,30,51,18,28,7,18,3,3,1,2,1,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,D 日,B 四技,476,270,206,14,27,29,19,45,40,120,91,-,-,-,-,-,-,62,29,12 高雄市,2 技職
1081,東方設計大學,D 日,C 二技,24,12,12,-,-,-,-,6,5,4,7,-,-,-,-,-,-,2,-,12 高雄市,2 技職
1081,東方設計大學,D 日,5 五專,459,213,246,18,18,23,49,50,46,49,51,69,76,-,-,-,-,4,6,12 高雄市,2 技職
1081,東方設計大學,N 職,M 碩士,42,19,23,14,16,5,4,-,3,-,-,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,N 修,B 四技,45,35,10,-,-,1,2,11,3,20,3,-,-,-,-,-,-,3,2,12 高雄市,2 技職
1081,東方設計大學,N 修,C 二技,241,138,103,-,-,-,-,69,59,62,37,-,-,-,-,-,-,7,7,12 高雄市,2 技職
1081,東方設計大學,N 修,2 二專,75,43,32,20,13,20,19,-,-,-,-,-,-,-,-,-,-,3,-,12 高雄市,2 技職
1082,崇右影藝科技大學,D 日,M 碩士,63,36,27,6,8,22,14,6,2,1,3,1,-,-,-,-,-,-,-,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,B 四技,"1,573",699,874,148,246,97,136,182,238,210,208,-,-,-,-,-,-,62,46,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,5 五專,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,17 基隆市,2 技職
1082,崇右影藝科技大學,N 修,C 二技,142,80,62,-,-,-,-,-,-,73,57,-,-,-,-,-,-,7,5,17 基隆市,2 技職
1082,崇右影藝科技大學,N 修,2 二專,140,78,62,-,-,69,55,-,-,-,-,-,-,-,-,-,-,9,7,17 基隆市,2 技職
1083,台北海洋科技大學,D 日,M 碩士,143,82,61,36,24,36,24,6,5,4,8,-,-,-,-,-,-,-,-,01 新北市,2 技職
1083,台北海洋科技大學,D 日,B 四技,"2,237","1,274",963,389,258,222,195,275,225,270,217,-,-,-,-,-,-,118,68,01 新北市,2 技職
1083,台北海洋科技大學,D 日,C 二技,184,125,59,-,-,-,-,60,28,53,25,-,-,-,-,-,-,12,6,01 新北市,2 技職
1083,台北海洋科技大學,D 日,2 二專,51,49,2,21,1,27,1,-,-,-,-,-,-,-,-,-,-,1,-,01 新北市,2 技職
1083,台北海洋科技大學,D 日,5 五專,696,426,270,73,54,77,45,99,59,75,60,82,40,-,-,-,-,20,12,01 新北市,2 技職
1083,台北海洋科技大學,N 修,B 四技,216,108,108,37,33,23,42,21,14,24,17,-,-,-,-,-,-,3,2,01 新北市,2 技職
1083,台北海洋科技大學,N 修,C 二技,516,221,295,-,-,-,-,134,162,86,130,-,-,-,-,-,-,1,3,01 新北市,2 技職
1083,台北海洋科技大學,N 修,2 二專,81,73,8,46,2,23,6,-,-,-,-,-,-,-,-,-,-,4,-,01 新北市,2 技職
1084,亞東科技大學,D 日,M 碩士,51,43,8,17,5,15,1,9,-,2,2,-,-,-,-,-,-,-,-,01 新北市,2 技職
1084,亞東科技大學,D 日,B 四技,"3,848","2,805","1,043",599,237,676,260,690,272,725,256,-,-,-,-,-,-,115,18,01 新北市,2 技職
1084,亞東科技大學,D 日,C 二技,177,8,169,-,-,-,-,5,85,3,84,-,-,-,-,-,-,-,-,01 新北市,2 技職
1084,亞東科技大學,N 修,C 二技,147,1,146,-,-,-,-,-,50,-,50,1,46,-,-,-,-,-,-,01 新北市,2 技職
1125,中信金融管理學院,D 日,M 碩士,117,58,59,26,35,16,19,11,4,5,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
1125,中信金融管理學院,D 日,B 學士,765,470,295,171,83,109,87,98,60,83,65,-,-,-,-,-,-,9,-,21 臺南市,1 一般
1125,中信金融管理學院,N 職,M 碩士,37,15,22,11,19,4,3,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
1148,大漢技術學院,D 日,M 碩士,87,51,36,21,17,16,14,14,5,-,-,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1148,大漢技術學院,D 日,B 四技,197,112,85,18,11,24,18,29,20,31,32,-,-,-,-,-,-,10,4,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,B 四技,294,188,106,46,39,57,24,41,24,37,17,-,-,-,-,-,-,7,2,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,C 二技,219,118,101,-,-,-,-,61,48,51,53,-,-,-,-,-,-,6,-,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,2 二專,107,55,52,28,30,27,20,-,-,-,-,-,-,-,-,-,-,-,2,15 花蓮縣,2 技職
1159,和春技術學院,D 日,B 四技,77,61,16,-,-,15,2,10,2,23,7,-,-,-,-,-,-,13,5,12 高雄市,2 技職
1159,和春技術學院,D 日,5 五專,34,18,16,-,-,-,-,3,-,3,2,11,12,-,-,-,-,1,2,12 高雄市,2 技職
1159,和春技術學院,N 修,B 四技,32,26,6,-,-,7,-,7,2,7,3,-,-,-,-,-,-,5,1,12 高雄市,2 技職
1159,和春技術學院,N 修,C 二技,106,76,30,-,-,-,-,-,-,69,26,-,-,-,-,-,-,7,4,12 高雄市,2 技職
1159,和春技術學院,N 修,2 二專,52,43,9,-,-,33,7,-,-,-,-,-,-,-,-,-,-,10,2,12 高雄市,2 技職
1168,南亞技術學院,D 日,M 碩士,11,9,2,-,-,2,1,4,1,3,-,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1168,南亞技術學院,D 日,B 四技,"1,168",748,420,139,70,195,101,216,102,168,111,-,-,-,-,-,-,30,36,03 桃園市,2 技職
1168,南亞技術學院,D 日,5 五專,196,118,78,18,12,16,14,26,13,20,20,30,17,-,-,-,-,8,2,03 桃園市,2 技職
1168,南亞技術學院,N 修,B 四技,391,239,152,37,32,29,37,75,27,76,41,-,-,-,-,-,-,22,15,03 桃園市,2 技職
1168,南亞技術學院,N 修,C 二技,966,338,628,-,-,-,-,88,315,239,304,-,-,-,-,-,-,11,9,03 桃園市,2 技職
1168,南亞技術學院,N 修,2 二專,30,20,10,-,-,16,8,-,-,-,-,-,-,-,-,-,-,4,2,03 桃園市,2 技職
1182,蘭陽技術學院,D 日,B 四技,132,79,53,-,-,8,10,13,4,52,35,-,-,-,-,-,-,6,4,02 宜蘭縣,2 技職
1182,蘭陽技術學院,D 日,5 五專,130,71,59,-,-,5,6,10,8,19,20,22,16,-,-,-,-,15,9,02 宜蘭縣,2 技職
1182,蘭陽技術學院,N 修,C 二技,63,34,29,-,-,-,-,-,-,34,29,-,-,-,-,-,-,-,-,02 宜蘭縣,2 技職
1183,黎明技術學院,D 日,B 四技,"3,550","1,877","1,673",390,437,404,404,460,390,531,382,-,-,-,-,-,-,92,60,01 新北市,2 技職
1183,黎明技術學院,D 日,5 五專,380,316,64,54,14,67,16,50,10,64,10,70,12,-,-,-,-,11,2,01 新北市,2 技職
1183,黎明技術學院,N 修,B 四技,"1,259",786,473,293,159,162,104,175,96,130,102,-,-,-,-,-,-,26,12,01 新北市,2 技職
1183,黎明技術學院,N 修,C 二技,65,15,50,-,-,-,-,10,29,4,21,-,-,-,-,-,-,1,-,01 新北市,2 技職
1185,經國管理暨健康學院,D 日,M 碩士,48,4,44,1,19,1,17,1,5,1,3,-,-,-,-,-,-,-,-,17 基隆市,2 技職
1185,經國管理暨健康學院,D 日,B 四技,"1,643",613,"1,030",98,175,102,179,185,317,173,277,-,-,-,-,-,-,55,82,17 基隆市,2 技職
1185,經國管理暨健康學院,D 日,C 二技,173,23,150,-,-,-,-,7,73,13,74,-,-,-,-,-,-,3,3,17 基隆市,2 技職
1185,經國管理暨健康學院,D 日,5 五專,"1,012",259,753,49,158,48,154,57,125,52,135,41,126,-,-,-,-,12,55,17 基隆市,2 技職
1185,經國管理暨健康學院,N 職,M 碩士,40,12,28,8,12,1,13,2,1,1,1,-,1,-,-,-,-,-,-,17 基隆市,2 技職
1185,經國管理暨健康學院,N 修,B 四技,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,17 基隆市,2 技職
1185,經國管理暨健康學院,N 修,C 二技,869,158,711,-,-,-,-,89,408,57,290,-,-,-,-,-,-,12,13,17 基隆市,2 技職
1185,經國管理暨健康學院,N 修,2 二專,214,42,172,19,86,21,72,-,-,-,-,-,-,-,-,-,-,2,14,17 基隆市,2 技職
1188,大同技術學院,D 日,B 四技,397,185,212,24,32,31,26,28,44,85,100,-,-,-,-,-,-,17,10,20 嘉義市,2 技職
1188,大同技術學院,D 日,5 五專,80,44,36,3,5,12,7,8,6,3,9,9,8,-,-,-,-,9,1,20 嘉義市,2 技職
1188,大同技術學院,N 修,B 四技,190,63,127,16,51,14,23,14,24,18,26,-,-,-,-,-,-,1,3,20 嘉義市,2 技職
1188,大同技術學院,N 修,C 二技,230,48,182,-,-,-,-,23,115,25,65,-,-,-,-,-,-,-,2,20 嘉義市,2 技職
1188,大同技術學院,N 修,2 二專,45,22,23,17,12,4,11,-,-,-,-,-,-,-,-,-,-,1,-,20 嘉義市,2 技職
1195,馬偕醫學院,D 日,D 博士,8,8,-,3,-,3,-,2,-,-,-,-,-,-,-,-,-,-,-,01 新北市,1 一般
1195,馬偕醫學院,D 日,M 碩士,60,18,42,5,6,8,28,2,5,3,3,-,-,-,-,-,-,-,-,01 新北市,1 一般
1195,馬偕醫學院,D 日,B 學士,727,254,473,53,111,60,98,42,112,44,112,26,20,24,17,-,-,5,3,01 新北市,1 一般
1195,馬偕醫學院,N 職,M 碩士,28,6,22,2,13,4,9,-,-,-,-,-,-,-,-,-,-,-,-,01 新北市,1 一般
1195,馬偕醫學院,N 修,C 二技,78,2,76,-,-,-,-,-,39,2,37,-,-,-,-,-,-,-,-,01 新北市,2 技職
1196,法鼓文理學院,D 日,D 博士,18,8,10,1,1,3,1,1,1,3,1,-,1,-,1,-,4,-,-,01 新北市,1 一般
1196,法鼓文理學院,D 日,M 碩士,259,70,189,13,58,17,42,21,46,19,43,-,-,-,-,-,-,-,-,01 新北市,1 一般
1196,法鼓文理學院,D 日,B 學士,52,22,30,6,6,7,2,4,12,5,9,-,-,-,-,-,-,-,1,01 新北市,1 一般
1282,馬偕醫護管理專科學校,D 日,2 二專,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30 臺北市,2 技職
1282,馬偕醫護管理專科學校,D 日,5 五專,"3,852",504,"3,348",135,733,106,676,87,634,67,620,88,615,-,-,-,-,21,70,30 臺北市,2 技職
1282,馬偕醫護管理專科學校,N 修,2 二專,144,72,72,41,37,29,33,-,-,-,-,-,-,-,-,-,-,2,2,30 臺北市,2 技職
1283,仁德醫護管理專科學校,D 日,5 五專,"5,970","1,333","4,637",253,881,311,945,254,888,222,858,195,826,-,-,-,-,98,239,05 苗栗縣,2 技職
1283,仁德醫護管理專科學校,N 修,2 二專,416,212,204,134,121,70,82,-,-,-,-,-,-,-,-,-,-,8,1,05 苗栗縣,2 技職
1284,樹人醫護管理專科學校,D 日,5 五專,"6,743","1,472","5,271",344,"1,128",277,"1,148",285,"1,028",264,960,235,851,-,-,-,-,67,156,12 高雄市,2 技職
1284,樹人醫護管理專科學校,N 修,2 二專,562,301,261,117,112,123,94,32,39,21,13,-,-,-,-,-,-,8,3,12 高雄市,2 技職
1285,慈惠醫護管理專科學校,D 日,2 二專,89,19,70,8,38,8,23,-,-,-,-,-,-,-,-,-,-,3,9,13 屏東縣,2 技職
1285,慈惠醫護管理專科學校,D 日,5 五專,"3,005",641,"2,364",101,335,104,410,125,468,145,498,112,474,-,-,-,-,54,179,13 屏東縣,2 技職
1285,慈惠醫護管理專科學校,N 修,2 二專,251,88,163,33,74,29,66,14,6,8,8,-,-,-,-,-,-,4,9,13 屏東縣,2 技職
1286,耕莘健康管理專科學校,D 日,5 五專,"4,272",422,"3,850",83,719,78,705,66,710,79,745,79,782,-,-,-,-,37,189,01 新北市,2 技職
1286,耕莘健康管理專科學校,N 修,2 二專,120,9,111,6,54,3,53,-,-,-,-,-,-,-,-,-,-,-,4,01 新北市,2 技職
1287,敏惠醫護管理專科學校,D 日,5 五專,"3,841",486,"3,355",104,664,113,678,100,650,84,645,66,622,-,-,-,-,19,96,11 臺南市,2 技職
1287,敏惠醫護管理專科學校,N 修,2 二專,64,19,45,14,21,5,24,-,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1289,育英醫護管理專科學校,D 日,5 五專,"1,923",220,"1,703",38,336,42,348,50,312,37,320,43,338,-,-,-,-,10,49,50 高雄市,2 技職
1291,聖母醫護管理專科學校,D 日,2 二專,34,17,17,9,8,8,9,-,-,-,-,-,-,-,-,-,-,-,-,02 宜蘭縣,2 技職
1291,聖母醫護管理專科學校,D 日,5 五專,"1,787",292,"1,495",50,278,48,266,59,297,66,284,62,354,-,-,-,-,7,16,02 宜蘭縣,2 技職
1291,聖母醫護管理專科學校,N 修,2 二專,51,27,24,16,13,11,11,-,-,-,-,-,-,-,-,-,-,-,-,02 宜蘭縣,2 技職
1292,新生醫護管理專科學校,D 日,5 五專,"5,985",728,"5,257",140,"1,132",163,"1,074",137,"1,010",120,945,137,938,-,-,-,-,31,158,03 桃園市,2 技職
1292,新生醫護管理專科學校,N 修,2 二專,70,9,61,2,36,7,25,-,-,-,-,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1293,崇仁醫護管理專科學校,D 日,5 五專,"3,209",445,"2,764",110,519,95,542,77,575,71,523,81,559,-,-,-,-,11,46,10 嘉義縣,2 技職
3002,臺北市立大學,D 日,D 博士,220,95,125,16,18,13,18,14,16,13,14,10,13,9,10,20,36,-,-,30 臺北市,1 一般
3002,臺北市立大學,D 日,M 碩士,"1,348",447,901,144,292,125,234,90,157,52,120,19,65,17,33,-,-,-,-,30 臺北市,1 一般
3002,臺北市立大學,D 日,B 學士,"5,345","2,363","2,982",575,727,552,701,538,732,510,711,-,-,-,-,-,-,188,111,30 臺北市,1 一般
3002,臺北市立大學,N 職,M 碩士,"1,201",316,885,105,280,96,257,46,159,28,85,19,54,22,50,-,-,-,-,30 臺北市,1 一般
